ID.v,00,01,02,03,04,05,06,07,08,09,Count
1,0,1,0,0,1,0,1,0,0,1,4
2,1,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0
4,1,0,1,0,0,0,0,0,0,0,2
5,0,1,1,0,1,1,1,1,1,1,8
6,0,0,0,1,1,0,0,0,0,0,2
7,0,0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,1,1,1,1,0,1,8
9,0,0,0,0,0,0,0,0,0,0,0
10,1,1,1,1,1,1,1,1,1,1,10
11,1,1,1,1,1,1,1,1,1,1,10
12,1,0,0,0,1,0,0,0,0,0,2
13,0,0,0,0,0,0,0,0,0,0,0
14,1,1,1,1,1,1,1,1,1,1,10
15,1,1,1,1,1,1,1,1,1,1,10
16,1,1,1,0,1,0,0,1,1,0,6
17,1,1,1,1,1,1,1,1,1,1,10
18,1,1,1,1,1,1,1,1,1,1,10
19,0,1,0,0,1,1,1,1,0,1,6
20,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
22,1,1,1,1,1,1,1,1,1,1,10
23,0,0,0,0,0,0,0,0,0,0,0
24,1,1,1,1,1,1,1,1,1,1,10
25,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0
